row  number,age,work sector,salery,savings,Food expenses (month),zip code,other expenses (month),educaion years,economic class
1456,17,B,8211,29388,1153,23231,1881,19,7
1457,42,E,8036,6297,1031,29309,1023,19,8
1458,47,A,5054,26653,888,18763,1402,17,4
1459,40,B,7905,34406,1203,22633,1462,18,7
1460,47,C,3639,5088,844,26243,2287,15,2
1461,32,A,5246,30093,1132,12500,2300,19,3
1462,41,D,2285,2678,437,28018,2296,10,0
1463,54,C,3865,6984,849,26625,1325,13,3
1464,39,E,8351,50722,1444,29250,1584,18,7
1465,42,C,3711,12556,828,24882,1717,13,2
1466,40,C,2799,10694,824,26005,1856,14,1
1467,33,E,7757,37944,2379,29502,1237,17,7
1468,46,C,3516,11657,790,24282,1504,13,3
1469,65,B,6607,20856,1269,22884,1684,19,5
1470,46,C,3161,4044,713,26355,2059,10,2
1471,43,D,3026,5785,563,28030,1970,16,2
1472,38,A,5066,29264,770,19477,1539,17,4
1473,46,E,8482,82378,1567,28910,1920,17,7
1474,50,D,2347,4780,495,27944,2167,15,1
1475,40,B,7463,3081,1199,22484,1853,17,6
1476,48,E,7234,88306,1654,28994,2449,18,5
1477,50,D,1414,2001,391,28086,1739,12,0
1478,54,A,4944,32350,974,14309,1716,20,4
1479,41,C,3375,7580,956,26988,2140,15,2
1480,50,C,3853,10947,541,24935,1724,15,3
1481,35,C,3349,5038,707,25259,2105,10,2
1482,68,B,7019,28597,1215,22735,1872,19,6
1483,41,B,7885,7555,1194,22699,2067,18,6
1484,49,B,6754,13024,1268,22853,1888,17,5
1485,39,D,2440,3898,620,28055,1651,10,1
1486,38,D,959,2481,564,28262,1939,11,0
1487,33,C,3977,6964,921,25647,1707,14,3
1488,36,B,7034,33736,1207,22596,1833,17,6
1489,28,B,7100,28533,1327,23026,1573,16,6
1490,20,B,6737,30476,1174,23267,1798,15,5
1491,36,E,7634,59753,1676,29394,1289,17,7
1492,31,B,6506,14324,1173,22744,1219,20,6
1493,31,B,6592,28112,1202,22440,1527,16,6
1494,33,A,5139,17424,957,14163,1437,16,4
1495,45,A,5466,15436,921,20653,1162,16,5
1496,25,C,3908,5468,782,25203,1894,12,3
1497,45,E,8474,16588,1604,28928,1769,15,7
1498,40,E,7869,52714,1575,29368,1532,19,7
1499,41,A,4798,27146,875,15412,2381,15,3
1500,32,B,7682,12373,1099,22480,1374,19,7
1501,39,A,4402,20956,1086,16643,1487,18,3
1502,44,E,8024,20236,1463,29787,2240,18,6
1503,35,C,3109,4541,808,24874,1806,15,2
1504,46,E,7057,30441,1488,29159,1775,20,6
1505,55,D,1702,3321,481,28067,898,12,1
1506,39,A,4477,22268,875,20624,1829,18,3
1507,57,A,4996,29664,1104,21062,2360,19,3
1508,53,C,3712,7926,811,26828,1335,16,3
1509,25,C,3780,2002,776,26169,797,14,3
1510,22,B,7192,19263,1140,23111,1557,18,6
1511,35,E,8577,64159,1559,29006,1490,21,8
1512,44,E,8405,43508,1563,29850,1935,19,7
1513,46,C,2960,7194,836,26317,1912,14,2
1514,46,B,6754,13627,1181,23176,1903,19,5
1515,36,B,8504,25950,1068,23003,1341,16,8
1516,27,A,5779,27281,1087,20784,2496,17,4
1517,33,A,5277,25626,838,14779,1988,15,4
1518,52,D,3539,6690,563,28019,902,17,3
1519,51,E,8229,74475,1805,29245,1183,18,8
1520,62,D,1994,4795,561,28033,1630,13,1
1521,48,A,4525,28530,576,16078,2112,18,3
1522,38,C,2965,5267,918,25748,1917,15,2
1523,35,D,2024,4743,470,28034,2245,13,0
1524,18,D,3457,6352,555,28028,1459,10,2
1525,37,E,8592,52355,1580,29427,1881,20,7
1526,46,A,4962,31564,1301,19107,1886,20,4
1527,38,C,3354,13793,747,25570,1819,13,2
1528,39,C,2704,303,942,24839,1917,14,1
1529,42,D,2988,4067,388,28171,2105,12,1
1530,19,E,8111,38568,1007,29320,1510,16,7
1531,42,B,5703,19553,1119,22480,1457,21,5
1532,29,A,4567,36143,796,21250,1612,11,3
1533,28,A,4888,28604,1132,15010,2133,14,3
1534,47,E,9688,67513,1572,29096,1938,21,8
1535,42,E,8138,70918,1574,29792,1157,18,7
1536,35,A,5433,23822,1192,14223,1352,17,5
1537,27,E,7538,49604,1075,29499,1998,17,6
1538,50,D,2829,4456,640,28142,2023,9,1
1539,25,C,2833,9916,730,25540,2236,12,1
1540,34,B,7089,14327,1201,22863,1882,21,6
1541,44,E,7277,8348,1810,29101,1651,20,6
1542,39,E,8303,58578,2030,29417,1537,18,7
1543,36,D,1786,3670,529,28077,1610,14,1
1544,45,E,7615,56304,1629,28915,1944,21,6
1545,22,E,7501,19099,2303,29785,1112,21,7
1546,47,B,6812,31482,1221,22864,2086,16,5
1547,44,A,5238,20625,1075,20236,1729,19,4
1548,48,C,3649,7941,689,25967,1758,15,2
1549,38,A,4613,15465,966,16012,1941,19,3
1550,41,D,2302,4899,585,28008,1393,13,1
1551,48,E,8105,50537,2035,29371,1891,19,7
1552,27,E,8553,57220,2170,29510,1788,17,7
1553,52,B,5857,12778,1166,22903,1546,18,5
1554,56,D,2128,4924,448,28077,1474,8,1
1555,54,E,8372,55991,2422,29679,1843,17,7
1556,52,D,2119,2495,462,27980,1450,11,1
1557,38,B,5676,21794,992,23111,1521,19,5
1558,40,C,3932,9662,977,25275,1583,14,3
1559,40,B,7747,34016,1351,23050,2066,17,6
1560,61,E,8800,17486,1975,29301,1970,22,7
1561,42,B,7202,26949,1032,23269,1416,14,6
1562,47,B,6428,23405,1249,22880,2067,17,5
1563,34,B,8314,16943,1201,22843,1929,18,7
1564,34,E,7964,40713,1557,29533,1568,18,7
1565,52,B,5175,19994,1134,22746,2092,17,4
1566,33,B,9469,43658,987,22827,1104,14,9
1567,43,E,8760,63687,1535,29359,1895,19,7
1568,52,A,4649,24904,1134,21124,1449,14,4
1569,49,C,3106,6849,701,26940,1862,13,2
1570,43,D,2529,4327,447,28071,2044,14,1
1571,33,D,2349,3957,553,28258,1263,16,2
1572,39,D,2073,4722,490,28084,1801,15,1
1573,52,D,2354,3307,562,28165,1907,13,1
1574,42,C,3285,10234,792,26960,1789,12,2
1575,34,A,5116,32987,595,14211,1724,17,4
1576,43,A,5718,19491,987,15907,2040,19,4
1577,40,E,7390,23154,1525,28940,1999,21,6
1578,21,E,8044,75222,1878,29705,1536,23,7
1579,38,D,3252,5678,485,27954,1664,15,2
1580,34,D,3484,6783,524,28054,2004,15,2
1581,46,D,1374,3866,535,28103,2003,14,0
1582,40,D,2326,2836,400,28165,1919,8,1
1583,46,C,3703,6505,768,24598,1569,14,3
1584,39,A,4387,19987,1149,19209,1676,13,3
1585,31,D,1581,3008,637,28025,1334,14,1
1586,33,A,4364,12471,1363,21211,924,15,4
1587,34,C,3663,1266,909,24308,2007,16,2
1588,54,E,8224,27649,1990,29483,1781,17,7
1589,31,E,7535,59762,1714,29054,985,22,7
1590,45,E,7406,67441,1601,29808,1671,19,6
1591,41,E,7398,50349,1414,29530,1535,17,6
1592,30,A,4609,10245,1275,14489,1779,16,3
1593,57,A,5134,32322,1011,12943,1911,15,4
1594,37,E,6651,31468,1989,29369,1897,18,5
1595,45,A,5356,19051,1301,16625,1326,12,5
1596,32,B,7689,19308,1551,22430,1524,16,7
1597,38,E,8077,40178,1896,29388,1352,17,7
1598,43,B,5462,11861,1163,23003,1802,16,4
1599,38,C,3684,7989,697,26385,1795,16,2
1600,38,A,4812,23925,1070,19072,2351,18,3
1601,39,C,2841,3299,686,24951,2128,17,1
1602,55,C,2982,7024,1028,26651,1481,14,2
1603,52,D,2536,4179,551,27923,1876,11,1
1604,42,E,7953,63806,1277,29166,1522,16,7
1605,31,A,4679,15825,1176,19987,1875,15,3
1606,29,B,7434,11933,1232,22964,1423,17,7
1607,44,A,4671,24589,1151,17812,1144,16,4
1608,18,B,6927,23933,1124,22529,1635,15,6
1609,32,D,1896,4602,486,28256,2289,16,0
1610,25,D,2037,4367,480,28204,1856,16,1
1611,50,E,7843,45195,1760,28970,1356,22,7
1612,30,C,3474,4405,839,24868,1874,13,2
1613,40,D,2864,7499,469,28205,1967,12,1
1614,25,B,6793,10332,1310,23140,1448,21,6
1615,39,D,1637,5894,438,27977,1861,12,0
1616,31,B,8051,43090,1081,23167,1475,14,7
1617,51,D,2101,2477,495,28140,1992,11,1
1618,44,C,3231,3021,726,24835,2446,15,1
1619,45,E,6875,37573,1892,29577,1277,18,6
1620,26,E,7240,64857,1875,28914,1226,18,7
1621,31,C,4628,5908,848,25528,1601,14,4
1622,30,C,3889,5250,946,24765,1890,15,2
1623,52,C,2937,5816,707,24694,2023,16,1
1624,47,B,7068,25875,1302,23227,2009,22,6
1625,23,A,4740,19591,1372,21589,1493,19,4
1626,47,D,1820,3063,442,27947,2116,11,0
1627,42,B,8131,26695,1257,22806,1765,20,7
1628,45,D,1717,2448,497,28176,1658,13,1
1629,42,D,2291,5148,419,27991,1209,15,2
1630,41,D,3280,8097,421,28164,1980,12,2
1631,42,A,5079,22609,1215,16283,1364,13,4
1632,32,C,3423,11085,756,26147,1285,12,3
1633,43,A,4865,19597,810,12625,2021,11,3
1634,38,E,7597,66808,1429,29669,2173,20,6
1635,48,D,3607,5094,463,28223,1998,13,2
1636,37,A,4737,25238,1068,16948,1131,21,4
1637,45,B,5266,13894,1001,22693,1438,15,4
1638,58,E,7668,60370,1362,29435,2487,21,6
1639,53,E,9300,68466,1303,29363,2199,16,8
1640,38,B,7841,21881,1067,23179,1956,20,6
1641,16,C,4191,5149,970,24408,2032,16,3
1642,47,E,6998,22797,1459,28892,1755,15,6
1643,45,E,7376,33171,1744,29593,1531,18,6
1644,24,C,3342,12814,698,25046,1377,14,2
1645,68,A,5193,25643,1038,16703,1445,17,4
1646,38,E,9429,45143,1729,29832,1801,17,8
1647,43,E,7580,61358,1481,29827,1533,20,7
1648,55,D,3708,5392,527,28241,1264,12,3
1649,35,A,4113,23746,1132,21914,1673,18,3
1650,46,C,3296,4366,884,24724,1712,18,2
1651,47,B,5218,30115,976,22535,1886,13,4
1652,54,A,4943,18183,1322,19756,1886,20,4
1653,41,B,6933,22615,1244,22502,1639,16,6
1654,40,A,5576,21522,1134,17378,1559,14,5
1655,50,E,8248,49436,1910,29476,1613,15,7
1656,32,A,5256,12463,848,16051,1705,17,4
1657,45,B,6932,26805,1309,22969,1025,22,6
1658,33,B,6657,15914,1266,23109,1905,15,5
1659,42,B,6649,16779,1112,22437,1089,21,6
1660,58,A,6076,28814,750,21797,1931,16,5
1661,38,A,5418,31374,969,14438,2032,17,4
1662,30,B,7675,18016,1081,22954,1941,19,6
1663,30,B,5582,18611,1206,22811,1815,18,4
1664,55,E,7748,39097,1793,29441,1607,19,7
1665,38,A,4423,29462,1256,19111,1408,17,4
1666,18,C,3184,5263,925,24434,1381,13,2
1667,48,E,8505,39300,1919,29585,1870,21,7
1668,43,B,6608,24569,1226,22785,1730,20,5
1669,45,A,5359,21436,1213,20371,1538,16,4
1670,53,C,3304,11056,829,27275,1755,14,2
1671,55,A,4674,31127,1065,16914,1803,20,3
1672,49,C,3826,6393,783,25731,2393,12,2
1673,25,C,3703,13746,938,26725,2198,13,2
1674,46,A,4831,17357,1169,21685,1807,20,4
1675,49,C,3660,3114,930,25641,1358,14,3
1676,31,D,4194,12683,515,28067,1936,14,3
1677,44,C,3620,878,860,25058,1487,12,3
1678,23,C,3312,6396,773,25553,2103,17,2
1679,50,E,9361,89563,1773,29278,2146,19,8
1680,41,D,3231,5763,543,28097,1860,10,2
1681,32,D,3308,9629,562,28028,1973,10,2
1682,42,B,6447,39311,1158,22959,1537,14,5
1683,20,B,6371,21025,1084,23260,2013,19,5
1684,53,C,3517,9883,897,26137,1866,14,2
1685,37,E,8048,67033,1830,29681,1783,15,7
1686,53,B,5087,13373,1084,22478,1336,20,4
1687,45,C,3218,3497,861,26420,731,14,3
1688,45,D,3234,6857,598,28081,1680,14,2
1689,43,D,2176,5912,550,28105,1811,11,1
1690,55,D,3078,8035,500,28219,1347,14,2
1691,53,B,7243,17126,1334,23139,1663,18,6
1692,44,C,3515,9612,1021,25302,1522,14,2
1693,46,C,3334,7002,1021,26490,1224,12,3
1694,37,E,7888,25764,1655,29109,1838,18,7
1695,52,C,3397,3947,931,25360,1780,15,2
1696,44,E,7414,70211,1951,29805,1477,20,6
1697,42,C,3625,9319,838,25700,1449,16,3
1698,35,A,4632,26909,507,20620,1460,17,4
1699,48,D,1729,3149,431,28169,1331,14,1
1700,35,A,4750,36008,1034,16471,1708,21,4
1701,43,A,5793,21361,1213,14527,1562,16,5
1702,42,B,7005,31853,1145,22921,1384,16,6
1703,15,C,3803,10637,803,26912,1713,18,3
1704,28,E,8272,42531,1523,29101,1237,19,8
1705,48,A,5112,19286,759,12589,1557,17,4
1706,38,A,5381,24940,1048,12481,1999,16,4
1707,50,C,3372,14257,901,26831,2130,16,2
1708,41,E,6336,59811,1785,29233,2655,22,4
1709,26,C,3444,4248,785,25191,1861,13,2
1710,33,E,7975,41566,1760,29124,1777,16,7
1711,23,A,5237,35530,943,16207,2312,16,3
1712,29,D,1137,2729,539,27948,1636,11,0
1713,36,A,5059,28211,1191,12992,1171,15,4
1714,48,D,1737,4340,497,28069,1363,10,1
1715,55,D,2220,3843,382,28071,1860,15,1
1716,34,C,3799,2884,683,24349,1531,12,3
1717,33,E,7637,33600,1070,28907,1673,20,6
1718,43,A,4332,21402,1019,21506,1811,20,3
1719,47,E,8162,4895,1301,29440,1461,18,7
1720,22,A,4841,21572,1179,15834,1520,17,4
1721,40,A,4387,38001,951,15856,1711,15,3
1722,32,A,5349,34731,1315,21648,1780,18,4
1723,28,E,7542,30687,1524,29410,1552,15,6
1724,40,E,6486,46397,1435,29453,1558,19,5
1725,43,A,4386,22305,893,18804,1908,19,3
1726,47,E,7810,71941,1110,29683,1098,19,7
1727,41,E,7725,71894,2299,29820,2063,18,6
1728,37,B,8803,36202,1282,22805,2063,17,7
1729,39,A,4487,16204,1044,16332,2033,15,3
1730,34,E,7932,60629,2366,29117,1789,17,7
1731,59,D,320,650,440,28076,1803,14,0
1732,49,B,8101,25283,1172,22728,1663,17,7
1733,30,B,7462,17694,1075,22901,1766,17,6
1734,44,C,3615,3017,913,25581,1338,18,3
1735,33,D,2807,3171,524,27988,1397,9,2
1736,55,C,3452,9966,786,26698,1818,16,2
1737,36,D,1046,2878,477,28132,1923,14,0
1738,59,B,8321,30405,1119,22843,1550,15,7
1739,46,B,7793,28385,1271,23232,2313,18,6
1740,42,B,6291,22547,1214,22461,1695,17,5
1741,32,B,5786,23690,1116,23041,1875,19,4
1742,51,C,3818,15479,857,24605,1645,18,3
1743,36,E,7965,59910,2155,29626,1961,19,7
1744,44,C,3015,3316,818,26763,2570,15,1
1745,53,B,5881,23106,1164,23269,1570,19,5
1746,27,D,2361,5115,456,27972,2177,10,1
1747,47,C,3575,3782,727,25488,1327,14,3
1748,44,C,3998,2219,956,24997,1691,15,3
1749,47,A,5192,18136,890,19771,1444,17,4
1750,41,E,8612,42640,1466,29389,1501,18,8
1751,47,E,8373,83189,1298,29614,1631,21,7
1752,39,D,1797,4444,452,27998,1439,12,1
1753,53,E,7713,39480,911,29371,1742,18,6
1754,51,C,3040,7258,789,27058,1768,16,2
1755,34,A,6077,37978,1303,14619,1722,17,5
1756,37,A,5425,39989,1172,14350,1487,17,4
1757,35,D,1688,3773,511,28241,1257,15,1
1758,53,E,8191,60246,1551,29637,2180,19,7
1759,30,C,3003,14481,936,25747,1617,12,2
1760,39,E,8515,58993,1721,29090,1115,17,8
1761,48,D,1465,2761,486,27945,1984,14,0
1762,34,D,2901,7247,553,28200,1331,12,2
1763,35,D,2954,5915,553,28147,1584,10,2
1764,49,D,466,853,600,27990,1694,14,0
1765,39,C,3918,8662,877,24724,1632,15,3
1766,40,E,8902,48916,1907,29071,1363,18,8
1767,52,B,7956,23877,1020,23111,1336,16,7
1768,47,C,3493,6248,916,25724,1691,15,2
1769,43,B,7185,20485,1210,22896,1777,20,6
1770,29,D,2144,5485,374,28085,1553,12,1
1771,54,D,1978,3745,513,28114,1973,17,1
1772,41,C,3945,12225,860,25596,1679,13,3
1773,45,C,3294,11283,862,24711,2166,15,2
1774,50,B,7189,20545,1060,22444,2218,17,5
1775,40,E,8479,66092,1771,29842,1351,16,8
1776,39,C,2878,3527,744,25764,1608,16,2
1777,39,D,1550,4719,486,27928,1538,15,1
1778,33,B,6382,28209,1130,23241,1765,19,5
1779,48,A,4889,25841,728,20273,2359,15,3
1780,13,B,7259,15097,1270,22839,1298,15,6
1781,48,D,3014,4806,522,27881,1436,12,2
1782,63,C,3607,7905,776,24542,999,18,3
1783,37,C,2818,9714,726,26040,1883,15,1
1784,30,E,6847,58212,2430,29490,1482,19,6
1785,41,D,2803,5978,517,27885,1637,15,2
1786,53,C,2943,6032,753,26976,1939,14,2
1787,46,D,2425,5532,485,28149,1821,12,1
1788,44,D,1982,2534,473,27951,1859,14,1
1789,20,C,3552,13361,806,26926,1494,13,3
1790,49,E,9395,34835,2159,29446,2088,15,8
1791,38,A,4485,13304,1120,12209,1718,17,3
1792,35,E,8438,36007,1499,29367,1908,19,7
1793,28,D,1990,4908,468,27946,1096,13,1
1794,28,E,6541,51040,1970,29031,1274,20,6
1795,43,A,5515,36264,1219,18848,1250,17,5
1796,67,D,2704,5471,565,28071,1702,12,2
1797,51,C,2703,2693,887,24751,1944,16,1
1798,33,E,7289,37719,1702,29576,1858,19,6
1799,29,D,4211,13229,567,28125,1727,11,3
1800,31,E,7935,61071,2271,29035,1922,15,7
1801,31,C,3441,8967,856,25772,1761,18,2
1802,39,A,4877,13279,932,13457,2202,16,3
1803,39,B,6650,4220,1152,23153,1668,18,5
1804,51,D,3087,6239,484,27985,2261,9,1
1805,33,B,6295,25635,1376,22961,1747,12,5
1806,39,D,2556,5802,488,27878,1646,11,1
1807,36,D,3511,4847,504,28224,1058,13,3
1808,41,D,2214,4934,529,28086,1556,15,1
1809,32,B,8248,15805,1276,23042,1421,18,7
1810,31,E,7569,78252,1733,29715,1893,19,6
1811,35,D,1432,3168,401,27895,2018,14,0
1812,45,B,6493,15847,1144,22906,1307,17,6
1813,25,B,9046,8661,1290,22437,1581,18,8
1814,52,A,4839,17700,688,21970,1861,17,3
1815,53,A,4232,28898,1017,15089,2625,18,2
1816,41,A,5807,26747,1079,21041,1725,18,5
1817,40,D,2399,5549,486,27916,1888,14,1
1818,27,B,5410,15359,1168,22874,1871,16,4
1819,33,E,9390,26686,1527,29805,2105,17,8
1820,46,E,9689,16623,1187,29392,2023,18,8
1821,52,A,4734,23477,967,12433,2124,18,3
1822,40,A,4836,17812,1187,19190,1767,15,4
1823,50,D,1698,3871,391,27943,1328,13,1
1824,49,E,7594,36637,1869,29322,1444,15,7
1825,60,B,5730,25407,1186,22982,1823,17,4
1826,53,B,6670,19078,1193,23073,1451,21,6
1827,51,E,7530,64626,1824,28988,2074,18,6
1828,41,B,7369,29960,1192,23001,1956,15,6
1829,53,B,7556,28563,1288,23152,1540,17,7
1830,47,C,4597,7339,820,25325,2148,12,3
1831,46,E,8160,42990,1547,29737,1998,16,7
1832,41,C,3324,9170,732,26326,1798,17,2
1833,45,A,4798,21634,1042,14112,1395,18,4
1834,41,D,2653,3716,436,28069,2261,11,1
1835,48,D,3236,7408,509,28006,1563,14,2
1836,40,E,8398,62330,1358,28941,941,16,8
1837,53,A,4828,20621,961,18745,1655,14,4
1838,44,E,9278,55859,2173,28970,2250,16,8
1839,40,B,7526,27867,1259,23041,1589,18,6
1840,57,D,2522,6842,532,27979,1961,14,1
1841,48,A,4938,29304,1052,21385,2327,14,3
1842,33,A,5043,18325,1056,19089,2182,16,3
1843,38,D,3956,6152,511,27948,1791,9,3
1844,45,E,8132,46180,1586,29776,1522,21,7
1845,41,A,4727,20197,806,17284,2165,14,3
1846,32,D,3135,3350,461,28270,1835,11,2
1847,43,A,5414,29613,1009,13867,1187,17,5
1848,40,A,5666,29317,1060,18729,1929,17,4
1849,43,E,6906,4608,2080,29514,1366,15,6
1850,29,C,3449,4055,912,24918,1806,16,2
1851,27,E,9350,69570,1165,28888,939,22,9
1852,44,A,5743,16541,1202,20620,1591,17,5
1853,43,A,4742,21330,1002,14080,1825,17,3
1854,43,C,3178,7266,642,27172,1633,14,2
1855,50,D,2003,2335,457,28191,1598,14,1
1856,45,E,7442,37584,1551,29444,2033,22,6
1857,42,B,6214,19327,1175,22609,2125,17,5
1858,36,B,7640,12682,1183,22979,2107,14,6
1859,34,D,2860,6908,519,28163,2028,12,1
1860,37,E,8123,81456,1719,29629,1683,17,7
1861,39,E,8437,33643,2267,29615,1759,20,7
1862,49,E,8216,49624,2314,28962,2499,18,6
1863,33,A,4616,27764,885,16979,1881,14,3
1864,32,A,5251,31803,1093,15440,2114,15,4
1865,39,D,3692,7705,427,28011,1621,13,3
1866,44,E,6584,34164,1859,29048,1878,17,5
1867,44,C,3587,7898,906,25646,1494,12,3
1868,32,E,8556,3141,2185,29520,1846,18,7
1869,64,E,6334,53282,1745,29830,1157,24,6
1870,40,B,7521,15713,1124,22873,1535,16,6
1871,32,A,5082,21643,827,20292,1525,17,4
1872,44,D,2193,3362,512,28099,1424,15,1
1873,31,C,3113,12173,596,24550,1764,15,2
1874,39,E,6940,28274,1250,29125,1957,20,5
1875,39,C,2962,2254,943,25396,1617,15,2
1876,38,E,7945,58462,2117,29780,1696,18,7
1877,45,C,3245,4582,796,25085,1779,12,2
1878,42,B,7657,21432,1156,23154,1657,16,6
1879,27,E,8511,50603,1768,29558,1561,19,7
1880,22,E,7475,71931,1427,28933,1289,19,7
1881,53,E,7564,38632,2134,29381,2198,16,6
1882,52,D,3029,4801,456,28168,1666,9,2
1883,41,E,8336,45577,1766,29254,1916,18,7
1884,41,D,2394,4559,564,28027,2433,10,0
1885,37,D,2694,5120,409,28070,1677,14,2
1886,45,C,3386,6023,832,26130,1852,14,2
1887,38,C,3266,1133,826,25757,1795,19,2
1888,42,D,2312,2257,359,27960,1585,13,1
1889,51,D,2727,4265,445,27961,1587,13,2
1890,64,D,2703,6112,434,27909,2585,14,1
1891,47,B,6436,29725,1167,22626,1901,21,5
1892,34,A,4658,17933,1077,19972,1798,15,3
1893,44,B,7196,17978,976,22786,2081,18,6
1894,57,C,3514,439,945,26631,1878,12,2
1895,50,E,7985,58763,1526,29412,1613,23,7
1896,35,D,1350,4065,483,28038,1208,13,1
1897,33,B,7640,22153,1150,22517,1738,15,6
1898,40,E,7911,72165,1420,28894,1962,22,6
1899,42,A,4218,24401,625,19850,1538,19,3
1900,35,E,7741,32047,2192,28991,2022,17,6
1901,43,D,1424,3690,446,27952,2035,8,0
1902,52,D,3211,6793,406,27921,1160,12,3
1903,36,E,8460,106911,874,29076,1928,21,7
1904,31,C,3496,5135,513,26506,1769,15,2
1905,24,A,4268,21082,1285,13482,1563,18,3
1906,20,B,6621,27782,1356,22858,1982,17,5
1907,26,B,6614,26475,1272,22655,1189,14,6
1908,46,A,4739,25405,1163,17390,1256,14,4
1909,24,C,2735,5475,877,24915,1157,14,2
1910,56,A,5245,39794,1197,21190,2151,16,4
1911,63,C,3020,8894,679,25047,1809,14,2
1912,36,E,8512,71639,2495,29037,1382,17,8
1913,36,E,8288,58097,1065,29735,1662,15,7
1914,45,D,2191,5071,441,27961,2000,12,1
1915,52,D,866,2240,472,28219,1797,15,0
1916,55,D,2066,3051,468,28063,2249,12,0
1917,37,C,3664,4566,853,26611,2011,13,2
1918,49,A,4830,26029,1152,20763,1955,14,3
1919,36,A,4786,27432,1093,19706,2328,13,3
1920,41,B,6588,17872,1212,22844,1812,19,5
1921,21,E,7324,29758,1915,29381,1308,16,7
1922,39,B,5033,21982,1341,23042,1748,17,4
1923,29,E,8439,37355,2124,29283,1105,20,8
1924,40,A,4461,26117,753,16707,1341,21,4
1925,44,E,8150,64828,1230,28877,2051,21,7
1926,33,D,1095,1971,488,27904,1921,10,0
1927,44,A,5267,21126,1027,16134,2097,15,4
1928,50,B,6305,9904,1101,22973,2345,16,4
1929,43,B,7424,20345,970,23190,1266,17,7
1930,41,B,7263,24164,1361,22431,1247,16,7
1931,50,E,8975,30204,1608,29130,1874,20,8
1932,23,D,2498,4748,531,28235,1997,14,1
1933,44,A,4498,26452,907,12381,1729,21,3
1934,53,A,4580,22160,1027,17684,1677,17,3
1935,51,E,8740,53407,1544,28957,2024,18,7
1936,36,D,3179,4556,532,27905,1434,10,2
1937,47,B,7247,14854,1181,22892,1809,17,6
1938,28,A,5798,29812,1187,12986,1856,19,4
1939,33,D,2376,4829,467,27909,2224,14,1
1940,46,D,2522,2966,459,27950,2086,14,1
1941,41,A,5651,53536,676,12544,1692,16,4
1942,52,E,6763,31667,1678,29286,2165,17,5
1943,53,D,911,1765,558,28126,1816,12,0
1944,38,A,4542,34542,947,12928,1572,17,3
1945,51,D,2630,4113,440,28061,1517,14,2
1946,43,B,8753,20975,1042,23160,1508,15,8
1947,60,A,4601,19598,1167,20396,1977,16,3
1948,37,B,7368,24444,1253,23135,1227,20,7
1949,49,C,2724,10660,853,25816,1169,15,2
1950,27,C,3551,1774,575,26684,1542,17,3
1951,45,C,3472,1912,712,25711,1668,15,2
1952,16,D,2123,5628,447,28056,1647,11,1
1953,38,B,5681,20898,1334,22845,1704,16,4
1954,40,A,4623,33117,1157,13595,1953,16,3
1955,43,B,6303,21400,1064,22591,1979,17,5
1956,56,E,8899,57290,1446,29149,1969,18,7
1957,49,E,7719,49775,1952,29348,1641,16,7
1958,50,C,3075,9555,796,24759,1744,17,2
1959,26,A,4303,23977,1229,20627,1482,16,3
1960,45,A,4505,18389,713,20767,1330,18,4
1961,41,D,1039,1856,524,27912,1774,12,0
1962,38,B,8280,31466,1234,22530,1321,13,7
1963,46,B,8910,28791,1162,23078,2007,20,7
1964,46,E,7600,87539,1411,29454,1810,17,6
1965,30,E,8186,13841,1532,29300,1715,20,7
1966,59,E,8199,61883,1842,29069,1359,17,7
1967,40,A,5047,30810,961,18433,1732,13,4
1968,40,D,2814,4246,443,28057,1795,14,2
1969,36,D,3004,9171,502,28151,1560,14,2
1970,36,D,2533,6381,491,28161,1334,13,2
1971,54,C,3787,8556,506,26583,1793,13,2
1972,42,D,2691,5667,555,27963,1295,14,2
1973,48,C,3100,5143,907,26855,1784,16,2
1974,51,D,1364,3152,488,28246,1470,13,0
1975,50,E,8356,21299,1439,29613,1673,19,7
1976,50,C,3461,5819,1088,25065,1734,15,2
1977,29,E,8528,56258,1510,29786,1872,16,7
1978,48,C,3635,10328,794,27101,1952,16,2
1979,47,A,5775,21855,905,20959,1653,16,5
1980,34,D,1748,4103,376,27963,2022,15,0
1981,60,B,4745,14737,1145,22786,1941,14,3
1982,40,B,6608,21211,1146,22716,1331,19,6
1983,36,D,833,2091,512,28034,1274,13,0
1984,25,D,1606,3147,565,28228,1927,13,0
1985,43,A,4934,30102,1235,20715,1661,15,4
1986,21,E,8132,45736,2300,29849,1424,18,7
1987,45,E,6692,43069,1555,29260,1744,20,5
1988,35,E,7013,67735,1721,29033,1937,16,6
1989,65,C,3620,10167,792,26265,1921,14,2
1990,42,A,4660,24897,1344,19808,1737,15,3
1991,38,A,4493,24969,1198,21344,1375,17,4
1992,52,A,5031,16458,725,13831,1676,18,4
1993,29,E,7726,78393,1901,28891,2205,21,6
1994,58,D,2902,4242,499,28274,1505,12,2
1995,46,A,5530,25555,915,19699,1607,18,4
1996,43,C,4056,4901,912,25971,1438,15,3
1997,46,D,2882,6515,535,28114,1851,11,2
1998,30,B,6232,7603,1252,22887,2128,18,5
1999,36,E,8786,33605,1612,29767,1896,21,7
2000,41,B,9328,53274,1040,22519,1159,16,9
2001,55,D,3302,9378,530,28104,1481,7,2
2002,23,C,3376,9082,873,26112,2536,17,1
